time,open,high,low,close
2020-01-03T20:30:00.000000000Z,1.11620,1.11620,1.11616,1.11616
2020-01-03T20:31:00.000000000Z,1.11618,1.11620,1.11616,1.11620
2020-01-03T20:32:00.000000000Z,1.11618,1.11618,1.11616,1.11616
2020-01-03T20:33:00.000000000Z,1.11613,1.11613,1.11611,1.11611
2020-01-03T20:34:00.000000000Z,1.11608,1.11610,1.11608,1.11610
2020-01-03T20:36:00.000000000Z,1.11608,1.11610,1.11608,1.11610
2020-01-03T20:37:00.000000000Z,1.11608,1.11608,1.11604,1.11604
2020-01-03T20:38:00.000000000Z,1.11606,1.11609,1.11606,1.11608
2020-01-03T20:39:00.000000000Z,1.11611,1.11611,1.11606,1.11606
2020-01-03T20:40:00.000000000Z,1.11608,1.11610,1.11608,1.11610
2020-01-03T20:41:00.000000000Z,1.11613,1.11616,1.11613,1.11613
2020-01-03T20:43:00.000000000Z,1.11616,1.11616,1.11613,1.11616
2020-01-03T20:44:00.000000000Z,1.11614,1.11616,1.11613,1.11615
2020-01-03T20:45:00.000000000Z,1.11613,1.11613,1.11611,1.11613
2020-01-03T20:46:00.000000000Z,1.11616,1.11616,1.11614,1.11614
2020-01-03T20:47:00.000000000Z,1.11611,1.11611,1.11611,1.11611
2020-01-03T20:48:00.000000000Z,1.11608,1.11613,1.11608,1.11611
2020-01-03T20:49:00.000000000Z,1.11613,1.11613,1.11613,1.11613
2020-01-03T20:53:00.000000000Z,1.11611,1.11611,1.11601,1.11601
2020-01-03T20:54:00.000000000Z,1.11603,1.11608,1.11603,1.11603
2020-01-03T20:55:00.000000000Z,1.11606,1.11607,1.11603,1.11607
2020-01-03T20:56:00.000000000Z,1.11610,1.11612,1.11608,1.11608
2020-01-03T20:57:00.000000000Z,1.11605,1.11608,1.11603,1.11608
2020-01-03T20:58:00.000000000Z,1.11610,1.11610,1.11608,1.11608
